                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                0.89665,                0.61017,                 1.1351,                0.90872,                0.88291,                0.91166,                0.57875,                 1.2954,                0.62881,                 1.6281,             0.00066602,             0.00066602,             0.00066602
                     56,                0.89246,                  0.602,                 1.1272,                0.92212,                0.87645,                0.89778,                0.56882,                 1.2452,                0.62907,                 1.6246,             0.00066152,             0.00066152,             0.00066152
                     57,                0.90005,                 0.6128,                 1.1351,                0.88862,                 0.8703,                0.89072,                0.58806,                  1.228,                0.62109,                 1.6238,             0.00065703,             0.00065703,             0.00065703
                     58,                0.90388,                0.60798,                 1.1403,                0.91788,                0.90096,                0.91281,                0.58448,                 1.1892,                0.60128,                 1.5709,             0.00065253,             0.00065253,             0.00065253
                     59,                0.88674,                0.59816,                 1.1231,                0.91716,                0.88638,                0.90357,                0.58781,                 1.1719,                  0.606,                   1.56,             0.00064803,             0.00064803,             0.00064803
                     60,                0.88955,                0.61082,                 1.1456,                0.90724,                0.87221,                0.89082,                0.57893,                 1.2122,                0.68405,                 1.5759,             0.00064353,             0.00064353,             0.00064353
                     61,                 0.8865,                0.60079,                 1.1346,                0.90191,                 0.8773,                0.90642,                0.57599,                 1.2824,                0.60503,                 1.6567,             0.00063903,             0.00063903,             0.00063903
                     62,                 0.8905,                0.60765,                  1.138,                0.89497,                0.87831,                0.90229,                0.58081,                 1.2291,                0.65003,                 1.6377,             0.00063453,             0.00063453,             0.00063453
                     63,                0.88657,                0.60018,                 1.1306,                0.88138,                0.87847,                0.90405,                0.59121,                  1.192,                0.62367,                 1.5501,             0.00063003,             0.00063003,             0.00063003
                     64,                0.88361,                0.60349,                 1.1327,                0.90191,                0.87921,                0.89336,                0.58051,                 1.1863,                0.61513,                 1.5621,             0.00062553,             0.00062553,             0.00062553
                     65,                0.88162,                0.59408,                 1.1243,                0.91724,                0.87469,                0.89123,                0.57548,                 1.1966,                0.63611,                 1.5758,             0.00062103,             0.00062103,             0.00062103
                     66,                 0.8666,                0.57884,                 1.1079,                0.90712,                0.87906,                0.89662,                0.59053,                 1.1786,                0.58337,                 1.5416,             0.00061653,             0.00061653,             0.00061653
                     67,                0.88542,                0.59124,                 1.1282,                0.93303,                0.86866,                0.89845,                0.56213,                 1.2839,                0.63755,                 1.6245,             0.00061203,             0.00061203,             0.00061203
                     68,                0.86731,                0.57531,                 1.1195,                0.92241,                0.86859,                0.88964,                0.57442,                 1.2077,                0.60837,                 1.5699,             0.00060753,             0.00060753,             0.00060753
                     69,                0.86369,                0.57544,                 1.1119,                0.88622,                0.89698,                0.89961,                0.58643,                 1.1858,                0.62759,                  1.564,             0.00060303,             0.00060303,             0.00060303
                     70,                 0.8663,                0.58314,                 1.1147,                0.89609,                0.87656,                0.89843,                0.58046,                 1.2381,                0.64319,                 1.6206,             0.00059853,             0.00059853,             0.00059853
                     71,                0.86377,                0.57979,                 1.1095,                0.91772,                0.88757,                0.90089,                 0.5793,                 1.2233,                0.63235,                 1.5876,             0.00059403,             0.00059403,             0.00059403
                     72,                0.86411,                0.57331,                 1.1104,                0.93418,                 0.8603,                0.90159,                0.58497,                 1.1977,                0.60378,                 1.5486,             0.00058953,             0.00058953,             0.00058953
                     73,                0.85736,                0.56338,                 1.1077,                0.93242,                0.87201,                 0.9057,                0.58406,                 1.2149,                0.59024,                  1.606,             0.00058503,             0.00058503,             0.00058503
                     74,                0.86528,                0.56882,                 1.1135,                0.93011,                0.86575,                0.89706,                0.57783,                 1.2368,                 0.6481,                 1.6205,             0.00058053,             0.00058053,             0.00058053
