                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     99,                0.81963,                0.46078,                 1.0132,                0.92339,                0.87879,                0.89192,                0.56675,                 1.4876,                0.72967,                 1.8464,              0.0005149,              0.0005149,              0.0005149
                    100,                0.79698,                0.45024,                0.99249,                0.93513,                0.86544,                0.89817,                   0.55,                 1.6136,                0.70143,                  1.907,             0.00050995,             0.00050995,             0.00050995
                    101,                0.82131,                0.46216,                 1.0147,                0.94953,                0.85971,                0.89653,                0.56512,                 1.4712,                0.68543,                 1.7851,               0.000505,               0.000505,               0.000505
                    102,                0.80441,                0.46004,                 1.0014,                0.91632,                0.87248,                0.88049,                0.55737,                 1.4398,                0.78048,                 1.8272,             0.00050005,             0.00050005,             0.00050005
                    103,                0.79798,                0.45045,                0.99148,                0.93023,                0.88065,                0.89664,                0.56117,                 1.4727,                0.69914,                 1.8036,              0.0004951,              0.0004951,              0.0004951
                    104,                0.81288,                 0.4612,                 1.0078,                0.92983,                0.86087,                0.88505,                0.55802,                 1.5598,                0.67734,                 1.8663,             0.00049015,             0.00049015,             0.00049015
                    105,                0.81251,                0.46277,                 1.0088,                0.93951,                0.87268,                0.90008,                 0.5663,                 1.4075,                0.65369,                 1.6623,              0.0004852,              0.0004852,              0.0004852
                    106,                0.81595,                0.46122,                 1.0094,                0.94461,                0.86704,                0.89703,                0.56278,                 1.4293,                0.62988,                 1.7832,             0.00048025,             0.00048025,             0.00048025
                    107,                0.81442,                0.47051,                 1.0103,                0.91938,                 0.8887,                0.90265,                 0.5651,                 1.4943,                0.65412,                 1.8184,              0.0004753,              0.0004753,              0.0004753
                    108,                0.80817,                0.45555,                0.99521,                0.95341,                0.86246,                0.90277,                0.56273,                 1.5295,                0.66756,                 1.8494,             0.00047035,             0.00047035,             0.00047035
